Year,Units,Area of Spending Category,Value
1998,Percentage (%) of national budget,,54.56
1999,Percentage (%) of national budget,,55.31
2000,Percentage (%) of national budget,,55.13
2001,Percentage (%) of national budget,,55.03
2002,Percentage (%) of national budget,,57.54
2003,Percentage (%) of national budget,,58.53
2004,Percentage (%) of national budget,,59.02
2005,Percentage (%) of national budget,,60.13
2006,Percentage (%) of national budget,,58.61
2007,Percentage (%) of national budget,,57.71
2008,Percentage (%) of national budget,,43.71
2009,Percentage (%) of national budget,,55.1
2010,Percentage (%) of national budget,,53.0
2011,Percentage (%) of national budget,,57.36
2012,Percentage (%) of national budget,,56.46
2013,Percentage (%) of national budget,,57.09
2014,Percentage (%) of national budget,,55.84
2015,Percentage (%) of national budget,,56.84
2016,Percentage (%) of national budget,,52.49
2017,Percentage (%) of national budget,,57.37
1998,Percentage (%) of national budget,Health,18.13
1999,Percentage (%) of national budget,Health,19.57
2000,Percentage (%) of national budget,Health,18.99
2001,Percentage (%) of national budget,Health,18.47
2002,Percentage (%) of national budget,Health,19.35
2003,Percentage (%) of national budget,Health,19.21
2004,Percentage (%) of national budget,Health,19.07
2005,Percentage (%) of national budget,Health,19.03
2006,Percentage (%) of national budget,Health,18.9
2007,Percentage (%) of national budget,Health,18.53
2008,Percentage (%) of national budget,Health,13.72
2009,Percentage (%) of national budget,Health,16.26
2010,Percentage (%) of national budget,Health,15.2
2011,Percentage (%) of national budget,Health,15.98
2012,Percentage (%) of national budget,Health,16.25
2013,Percentage (%) of national budget,Health,16.81
2014,Percentage (%) of national budget,Health,16.61
2015,Percentage (%) of national budget,Health,17.37
2016,Percentage (%) of national budget,Health,16.54
2017,Percentage (%) of national budget,Health,17.47
1998,Percentage (%) of national budget,Social Protection,18.58
1999,Percentage (%) of national budget,Social Protection,17.99
2000,Percentage (%) of national budget,Social Protection,18.21
2001,Percentage (%) of national budget,Social Protection,18.37
2002,Percentage (%) of national budget,Social Protection,19.46
2003,Percentage (%) of national budget,Social Protection,21.17
2004,Percentage (%) of national budget,Social Protection,21.31
2005,Percentage (%) of national budget,Social Protection,21.32
2006,Percentage (%) of national budget,Social Protection,19.77
2007,Percentage (%) of national budget,Social Protection,19.98
2008,Percentage (%) of national budget,Social Protection,15.43
2009,Percentage (%) of national budget,Social Protection,22.06
2010,Percentage (%) of national budget,Social Protection,21.63
2011,Percentage (%) of national budget,Social Protection,24.35
2012,Percentage (%) of national budget,Social Protection,23.37
2013,Percentage (%) of national budget,Social Protection,23.15
2014,Percentage (%) of national budget,Social Protection,22.43
2015,Percentage (%) of national budget,Social Protection,22.1
2016,Percentage (%) of national budget,Social Protection,20.11
2017,Percentage (%) of national budget,Social Protection,22.51
1998,Percentage (%) of national budget,Education,17.85
1999,Percentage (%) of national budget,Education,17.75
2000,Percentage (%) of national budget,Education,17.93
2001,Percentage (%) of national budget,Education,18.19
2002,Percentage (%) of national budget,Education,18.73
2003,Percentage (%) of national budget,Education,18.15
2004,Percentage (%) of national budget,Education,18.64
2005,Percentage (%) of national budget,Education,19.78
2006,Percentage (%) of national budget,Education,19.94
2007,Percentage (%) of national budget,Education,19.2
2008,Percentage (%) of national budget,Education,14.56
2009,Percentage (%) of national budget,Education,16.78
2010,Percentage (%) of national budget,Education,16.17
2011,Percentage (%) of national budget,Education,17.03
2012,Percentage (%) of national budget,Education,16.84
2013,Percentage (%) of national budget,Education,17.13
2014,Percentage (%) of national budget,Education,16.8
2015,Percentage (%) of national budget,Education,17.37
2016,Percentage (%) of national budget,Education,15.84
2017,Percentage (%) of national budget,Education,17.39
1998,Percentage (%) of Gross Domestic Product (GDP),,22.18
1999,Percentage (%) of Gross Domestic Product (GDP),,22.88
