Year,Indicator,Value
2015,Liquid assets to short-term liabilities,37.617
2016,Liquid assets to short-term liabilities,37.187
2017,Liquid assets to short-term liabilities,30.109
2018,Liquid assets to short-term liabilities,23.324
2019,Liquid assets to short-term liabilities,22.833000000000002
2020,Liquid assets to short-term liabilities,23.647
2018,Regulatory Tier 1 capital to assets,17.035
2015,Regulatory Tier 1 capital to risk- weighted assets,27.386
2016,Regulatory Tier 1 capital to risk- weighted assets,27.19
2017,Regulatory Tier 1 capital to risk- weighted assets,24.299
2018,Regulatory Tier 1 capital to risk- weighted assets,21.815
2019,Regulatory Tier 1 capital to risk- weighted assets,21.816
2020,Regulatory Tier 1 capital to risk- weighted assets,22.412
2015,Nonperforming loans net of provisions to capital,8.889
2016,Nonperforming loans net of provisions to capital,6.678
2017,Nonperforming loans net of provisions to capital,5.462999999999999
2018,Nonperforming loans net of provisions to capital,6.568
2019,Nonperforming loans net of provisions to capital,8.197000000000001
2020,Nonperforming loans net of provisions to capital,6.045
2015,Nonperforming loans to total gross loans,5.852
2016,Nonperforming loans to total gross loans,4.123
2017,Nonperforming loans to total gross loans,2.864
2018,Nonperforming loans to total gross loans,2.513
2019,Nonperforming loans to total gross loans,2.928
2020,Nonperforming loans to total gross loans,2.9019999999999997
2015,Return on assets,4.195
2016,Return on assets,2.375
2017,Return on assets,1.9
2018,Return on assets,1.619
2019,Return on assets,1.179
2020,Return on assets,0.909
2015,Net open position in foreign exchange to capital,2.08829
2016,Net open position in foreign exchange to capital,-0.484
2017,Net open position in foreign exchange to capital,0.5379999999999999
2018,Net open position in foreign exchange to capital,-0.244
2019,Net open position in foreign exchange to capital,-1.079
2020,Net open position in foreign exchange to capital,2.451
