Year,Age,Gender,Value
2020,,,4.37
2018,,,8.19
2020,16.0,Male,3.6548831639999997
2020,16.0,Female,5.454545455
2020,15.0,Male,4.632310365
2020,15.0,Female,5.1038575669999995
2020,14.0,Male,3.440860215
2020,14.0,Female,3.99113082
2018,20.0,Male,8.256880734
2018,20.0,Female,16.10738255
2018,19.0,Male,6.870229008
2018,19.0,Female,10.54852321
2018,18.0,Male,6.05487228
2018,18.0,Female,5.126118796
2018,17.0,Male,5.92
2018,17.0,Female,6.382978723
2018,16.0,Male,6.310679612
2018,16.0,Female,5.810200129
2018,15.0,Male,6.666666667
2018,15.0,Female,14.28571429
