Year,Type of Occupation,Value
1981,Biomedical scientists,1161.0
1982,Biomedical scientists,1143.0
1983,Biomedical scientists,1041.0
1984,Biomedical scientists,1042.0
1985,Biomedical scientists,1067.0
1986,Biomedical scientists,1163.0
1987,Biomedical scientists,1120.0
1988,Biomedical scientists,1058.0
1989,Biomedical scientists,1027.0
1990,Biomedical scientists,1084.0
1991,Biomedical scientists,1031.0
1992,Biomedical scientists,914.0
1993,Biomedical scientists,924.0
1994,Biomedical scientists,927.0
1995,Biomedical scientists,
1996,Biomedical scientists,
1997,Biomedical scientists,923.0
1998,Biomedical scientists,951.0
1999,Biomedical scientists,936.0
2000,Biomedical scientists,970.0
2001,Biomedical scientists,978.0
2002,Biomedical scientists,998.0
2003,Biomedical scientists,
2004,Biomedical scientists,982.0
2005,Biomedical scientists,996.0
2006,Biomedical scientists,1026.0
2007,Biomedical scientists,1099.0
2008,Biomedical scientists,1079.0
2009,Biomedical scientists,1062.0
2010,Biomedical scientists,1034.0
2011,Biomedical scientists,1069.0
2012,Biomedical scientists,1084.0
2013,Biomedical scientists,1071.0
2014,Biomedical scientists,1065.0
2015,Biomedical scientists,1105.0
2016,Biomedical scientists,1200.0
2017,Biomedical scientists,1267.0
2018,Biomedical scientists,1257.0
1981,Dental hygienists,
1982,Dental hygienists,
1983,Dental hygienists,
1984,Dental hygienists,
1985,Dental hygienists,
1986,Dental hygienists,
1987,Dental hygienists,
1988,Dental hygienists,
1989,Dental hygienists,
1990,Dental hygienists,
1991,Dental hygienists,
1992,Dental hygienists,
1993,Dental hygienists,
1994,Dental hygienists,
1995,Dental hygienists,
1996,Dental hygienists,
1997,Dental hygienists,
1998,Dental hygienists,
1999,Dental hygienists,
2000,Dental hygienists,
2001,Dental hygienists,
2002,Dental hygienists,
2003,Dental hygienists,
2004,Dental hygienists,
2005,Dental hygienists,11996.0
2006,Dental hygienists,16193.0
2007,Dental hygienists,16603.0
2008,Dental hygienists,17743.0
2009,Dental hygienists,22688.0
2010,Dental hygienists,22747.0
2011,Dental hygienists,21305.0
2012,Dental hygienists,22990.0
2013,Dental hygienists,23262.0
2014,Dental hygienists,23507.0
2015,Dental hygienists,25579.0
2016,Dental hygienists,26027.0
2017,Dental hygienists,29038.0
2018,Dental hygienists,29749.0
1981,Dental Surgery Assistants,
1982,Dental Surgery Assistants,
1983,Dental Surgery Assistants,
1984,Dental Surgery Assistants,
1985,Dental Surgery Assistants,
1986,Dental Surgery Assistants,
1987,Dental Surgery Assistants,
1988,Dental Surgery Assistants,
1989,Dental Surgery Assistants,
1990,Dental Surgery Assistants,
1991,Dental Surgery Assistants,
1992,Dental Surgery Assistants,
1993,Dental Surgery Assistants,
1994,Dental Surgery Assistants,
1995,Dental Surgery Assistants,
1996,Dental Surgery Assistants,
1997,Dental Surgery Assistants,
1998,Dental Surgery Assistants,
1999,Dental Surgery Assistants,
2000,Dental Surgery Assistants,
2001,Dental Surgery Assistants,
2002,Dental Surgery Assistants,
2003,Dental Surgery Assistants,
2004,Dental Surgery Assistants,969.0
2005,Dental Surgery Assistants,996.0
2006,Dental Surgery Assistants,1036.0
2007,Dental Surgery Assistants,1095.0
2008,Dental Surgery Assistants,
2009,Dental Surgery Assistants,
2010,Dental Surgery Assistants,1027.0
2011,Dental Surgery Assistants,999.0
2012,Dental Surgery Assistants,1006.0
2013,Dental Surgery Assistants,1071.0
2014,Dental Surgery Assistants,1025.0
2015,Dental Surgery Assistants,1056.0
2016,Dental Surgery Assistants,1041.0
2017,Dental Surgery Assistants,1162.0
2018,Dental Surgery Assistants,1322.0
1981,Dentists,1319.0
1982,Dentists,1309.0
1983,Dentists,1248.0
1984,Dentists,1247.0
1985,Dentists,1229.0
1986,Dentists,1191.0
1987,Dentists,1162.0
1988,Dentists,1172.0
1989,Dentists,1159.0
1990,Dentists,1112.0
1991,Dentists,1078.0
