Year,Gender,Value
1998,,88
1999,,90
2000,,91
2001,,91
2002,,93
2003,,93
2004,,93
2005,,93
2006,,92
2007,,94
2008,,91
2009,,93
2010,,94
2011,,95
2012,,95
2013,,94
2014,,95
2015,,95
2016,,96
2017,,97
2018,,97
2019,,96
1998,Male,91
1999,Male,89
2000,Male,93
2001,Male,91
2002,Male,93
2003,Male,93
2004,Male,93
2005,Male,95
2006,Male,92
2007,Male,94
2008,Male,92
2009,Male,94
2010,Male,95
2011,Male,96
2012,Male,96
2013,Male,94
2014,Male,96
2015,Male,96
2016,Male,95
2017,Male,97
2018,Male,97
2019,Male,96
1998,Female,86
1999,Female,91
2000,Female,90
2001,Female,92
2002,Female,93
2003,Female,92
2004,Female,93
2005,Female,92
2006,Female,92
2007,Female,94
2008,Female,91
2009,Female,92
2010,Female,92
2011,Female,94
2012,Female,95
2013,Female,94
2014,Female,95
2015,Female,95
2016,Female,97
2017,Female,97
2018,Female,97
2019,Female,96
