Year,Education Category,Age,Sex,Value
2001,Formal,15-24,,61.53128571
2002,Formal,15-24,,64.47550156
2003,Formal,15-24,,66.88510778
2004,Formal,15-24,,66.93085415
2005,Formal,15-24,,68.02435001
2006,Formal,15-24,,67.36549461
2007,Formal,15-24,,67.43264127
2008,Formal,15-24,,66.66594655
2009,Formal,15-24,,68.50898926
2010,Formal,15-24,,68.61923792
2011,Formal,15-24,,70.60067049999999
2012,Formal,15-24,,68.78523291
2013,Formal,15-24,,67.78884884
2014,Formal,15-24,,66.33191381
2015,Formal,15-24,,64.59946128
2016,Formal,15-24,,63.79049929
2017,Formal,15-24,,63.06520401
2018,Formal,15-24,,61.37556143
2001,Formal,15-24,Male,58.95399104
2002,Formal,15-24,Male,61.64574345
2003,Formal,15-24,Male,64.06039581
2004,Formal,15-24,Male,64.12375308
2005,Formal,15-24,Male,64.67145589
2006,Formal,15-24,Male,63.15486631
2007,Formal,15-24,Male,63.478015299999996
2008,Formal,15-24,Male,63.14179092
2009,Formal,15-24,Male,64.82530764
2010,Formal,15-24,Male,66.00874675
2011,Formal,15-24,Male,67.85301868
2012,Formal,15-24,Male,65.89928046
2013,Formal,15-24,Male,64.44472316
2014,Formal,15-24,Male,63.75542971
2015,Formal,15-24,Male,61.29583523
2016,Formal,15-24,Male,60.42467883
2017,Formal,15-24,Male,60.08961604
2018,Formal,15-24,Male,58.08237510000001
2001,Formal,15-24,Female,64.16239042
2002,Formal,15-24,Female,67.35781117
2003,Formal,15-24,Female,69.79395724
2004,Formal,15-24,Female,69.85015409
2005,Formal,15-24,Female,71.51932805
2006,Formal,15-24,Female,71.77189759
2007,Formal,15-24,Female,71.58723248
2008,Formal,15-24,Female,70.37688384
2009,Formal,15-24,Female,72.35971933
2010,Formal,15-24,Female,71.32736535
2011,Formal,15-24,Female,73.4850615
2012,Formal,15-24,Female,71.81897061
2013,Formal,15-24,Female,71.32342578
2014,Formal,15-24,Female,69.04087274
2015,Formal,15-24,Female,68.07696996
2016,Formal,15-24,Female,67.31746972
2017,Formal,15-24,Female,66.19056817
2018,Formal,15-24,Female,64.83804357
2001,Formal,25-64,,6.870901784
2002,Formal,25-64,,7.752072302
2003,Formal,25-64,,8.69532418
2004,Formal,25-64,,9.167936605
2005,Formal,25-64,,9.657579787000001
2006,Formal,25-64,,9.695018507
2007,Formal,25-64,,9.955349147
2008,Formal,25-64,,9.709680901
2009,Formal,25-64,,9.710905765
2010,Formal,25-64,,9.652140443
2011,Formal,25-64,,9.948991897
2012,Formal,25-64,,9.79648217
2013,Formal,25-64,,9.991954078
2014,Formal,25-64,,9.348183204
2015,Formal,25-64,,9.008379888
2016,Formal,25-64,,8.40037245
2017,Formal,25-64,,8.175720347999999
2018,Formal,25-64,,7.94299782
2001,Formal,25-64,Male,4.81348277
2002,Formal,25-64,Male,5.313539941
2003,Formal,25-64,Male,5.835529354
2004,Formal,25-64,Male,6.127819549
2005,Formal,25-64,Male,6.523797002
2006,Formal,25-64,Male,6.482470806
2007,Formal,25-64,Male,6.717916423999999
2008,Formal,25-64,Male,6.402151675
2009,Formal,25-64,Male,6.786752957000001
2010,Formal,25-64,Male,6.991265345
2011,Formal,25-64,Male,7.217758733999999
2012,Formal,25-64,Male,7.350251622999999
2013,Formal,25-64,Male,7.562092907
2014,Formal,25-64,Male,7.063682576000001
2015,Formal,25-64,Male,6.755230588
2016,Formal,25-64,Male,6.379182156000001
2017,Formal,25-64,Male,6.087206792000001
2018,Formal,25-64,Male,5.7546942329999995
2001,Formal,25-64,Female,8.976517248
2002,Formal,25-64,Female,10.25076126
2003,Formal,25-64,Female,11.61144662
2004,Formal,25-64,Female,12.26269391
2005,Formal,25-64,Female,12.86386871
2006,Formal,25-64,Female,13.05496759
2007,Formal,25-64,Female,13.45936214
