Year,Service,Value
2004,Branches of commercial banks,90.9
2005,Branches of commercial banks,86.18
2006,Branches of commercial banks,77.58
2007,Branches of commercial banks,73.31
2008,Branches of commercial banks,69.68
2009,Branches of commercial banks,60.84
2010,Branches of commercial banks,57.56
2011,Branches of commercial banks,52.21
2012,Branches of commercial banks,47.15
2013,Branches of commercial banks,43.14
2014,Branches of commercial banks,40.3
2015,Branches of commercial banks,36.42
2016,Branches of commercial banks,35.47
2017,Branches of commercial banks,34.58
2018,Branches of commercial banks,31.47
2019,Branches of commercial banks,30.31
2004,Number of Automated Teller Machines (ATMs),105.9
2005,Number of Automated Teller Machines (ATMs),111.29
2006,Number of Automated Teller Machines (ATMs),106.25
2007,Number of Automated Teller Machines (ATMs),106.48
2008,Number of Automated Teller Machines (ATMs),101.71
2009,Number of Automated Teller Machines (ATMs),79.14
2010,Number of Automated Teller Machines (ATMs),81.38
2011,Number of Automated Teller Machines (ATMs),75.94
2012,Number of Automated Teller Machines (ATMs),73.87
2013,Number of Automated Teller Machines (ATMs),76.18
2014,Number of Automated Teller Machines (ATMs),78.69
2015,Number of Automated Teller Machines (ATMs),73.59
2016,Number of Automated Teller Machines (ATMs),88.85
2017,Number of Automated Teller Machines (ATMs),88.81
2018,Number of Automated Teller Machines (ATMs),86.29
2019,Number of Automated Teller Machines (ATMs),77.84
