Year,Fatal/non-fatal,Sex,Nationality,Value
1984,Total,Both,All,344
1985,Total,Both,All,358
1986,Total,Both,All,381
1987,Total,Both,All,405
1988,Total,Both,All,421
1989,Total,Both,All,444
1990,Total,Both,All,763
1991,Total,Both,All,668
1992,Total,Both,All,673
1993,Total,Both,All,670
1994,Total,Both,All,673
1995,Total,Both,All,884
1996,Total,Both,All,1085
1997,Total,Both,All,1237
1998,Total,Both,All,1338
1999,Total,Both,All,1361
2000,Total,Both,All,1445
2001,Total,Both,All,1419
2002,Total,Both,All,1399
2003,Total,Both,All,1482
2004,Total,Both,All,1879
2005,Total,Both,All,1636
2006,Total,Both,All,1740
2007,Total,Both,All,1926
2008,Total,Both,All,1865
2009,Total,Both,All,1367
2010,Total,Both,All,1339
2011,Total,Both,All,1557
2012,Total,Both,All,1642
2013,Total,Both,All,1802
2014,Total,Both,All,1964
2015,Total,Both,All,2064
2016,Total,Both,All,2116
2017,Total,Both,All,2122
2018,Total,Both,All,2177
2019,Total,Both,All,1699
1984,Fatal,Both,All,5
1985,Fatal,Both,All,6
1986,Fatal,Both,All,5
1987,Fatal,Both,All,4
1988,Fatal,Both,All,1
1989,Fatal,Both,All,7
1990,Fatal,Both,All,5
1991,Fatal,Both,All,9
1992,Fatal,Both,All,4
1993,Fatal,Both,All,4
1994,Fatal,Both,All,8
1995,Fatal,Both,All,3
1996,Fatal,Both,All,3
1997,Fatal,Both,All,4
1998,Fatal,Both,All,2
1999,Fatal,Both,All,7
2000,Fatal,Both,All,4
2001,Fatal,Both,All,3
2002,Fatal,Both,All,0
2003,Fatal,Both,All,4
2004,Fatal,Both,All,2
2005,Fatal,Both,All,3
2006,Fatal,Both,All,6
2007,Fatal,Both,All,4
2008,Fatal,Both,All,5
2009,Fatal,Both,All,3
2010,Fatal,Both,All,3
2011,Fatal,Both,All,3
2012,Fatal,Both,All,0
2013,Fatal,Both,All,1
2014,Fatal,Both,All,2
2015,Fatal,Both,All,2
2016,Fatal,Both,All,4
2017,Fatal,Both,All,2
2018,Fatal,Both,All,3
2019,Fatal,Both,All,2
2004,Fatal,Male,All,2
2005,Fatal,Male,All,3
2006,Fatal,Male,All,6
2007,Fatal,Male,All,4
2008,Fatal,Male,All,5
2009,Fatal,Male,All,3
2010,Fatal,Male,All,3
2011,Fatal,Male,All,3
2012,Fatal,Male,All,0
2013,Fatal,Male,All,0
2014,Fatal,Male,All,1
2015,Fatal,Male,All,2
2016,Fatal,Male,All,4
2017,Fatal,Male,All,2
2018,Fatal,Male,All,3
2019,Fatal,Male,All,2
2004,Fatal,Female,All,0
2005,Fatal,Female,All,0
2006,Fatal,Female,All,0
2007,Fatal,Female,All,0
2008,Fatal,Female,All,0
2009,Fatal,Female,All,0
2010,Fatal,Female,All,0
2011,Fatal,Female,All,0
2012,Fatal,Female,All,0
2013,Fatal,Female,All,1
2014,Fatal,Female,All,1
2015,Fatal,Female,All,0
2016,Fatal,Female,All,0
2017,Fatal,Female,All,0
2018,Fatal,Female,All,0
2019,Fatal,Female,All,0
2004,non-fatal,Male,All,1425
2005,non-fatal,Male,All,1219
2006,non-fatal,Male,All,1327
2007,non-fatal,Male,All,1450
2008,non-fatal,Male,All,1367
2009,non-fatal,Male,All,935
2010,non-fatal,Male,All,857
2011,non-fatal,Male,All,1018
2012,non-fatal,Male,All,1053
2013,non-fatal,Male,All,1191
2014,non-fatal,Male,All,1251
2015,non-fatal,Male,All,1303
2016,non-fatal,Male,All,1359
2017,non-fatal,Male,All,1382
2018,non-fatal,Male,All,1418
2019,non-fatal,Male,All,1068
2004,non-fatal,Female,All,448
2005,non-fatal,Female,All,411
2006,non-fatal,Female,All,406
2007,non-fatal,Female,All,471
2008,non-fatal,Female,All,492
2009,non-fatal,Female,All,429
2010,non-fatal,Female,All,479
2011,non-fatal,Female,All,536
2012,non-fatal,Female,All,587
2013,non-fatal,Female,All,610
2014,non-fatal,Female,All,711
2015,non-fatal,Female,All,759
2016,non-fatal,Female,All,752
2017,non-fatal,Female,All,738
2018,non-fatal,Female,All,756
2019,non-fatal,Female,All,629
1984,non-fatal,Both,All,339
1985,non-fatal,Both,All,352
1986,non-fatal,Both,All,376
1987,non-fatal,Both,All,401
1988,non-fatal,Both,All,420
1989,non-fatal,Both,All,437
1990,non-fatal,Both,All,758
1991,non-fatal,Both,All,659
1992,non-fatal,Both,All,669
1993,non-fatal,Both,All,666
1994,non-fatal,Both,All,665
1995,non-fatal,Both,All,881
1996,non-fatal,Both,All,1082
1997,non-fatal,Both,All,1233
1998,non-fatal,Both,All,1336
1999,non-fatal,Both,All,1354
2000,non-fatal,Both,All,1441
2001,non-fatal,Both,All,1416
2002,non-fatal,Both,All,1399
2003,non-fatal,Both,All,1478
2004,non-fatal,Both,All,1877
2005,non-fatal,Both,All,1633
2006,non-fatal,Both,All,1734
2007,non-fatal,Both,All,1922
2008,non-fatal,Both,All,1860
2009,non-fatal,Both,All,1364
2010,non-fatal,Both,All,1336
2011,non-fatal,Both,All,1554
2012,non-fatal,Both,All,1642
2013,non-fatal,Both,All,1801
2014,non-fatal,Both,All,1962
2015,non-fatal,Both,All,2062
2016,non-fatal,Both,All,2112
2017,non-fatal,Both,All,2120
2018,non-fatal,Both,All,2174
2019,non-fatal,Both,All,1697
1984,Total,Both,Icelandic,340
1985,Total,Both,Icelandic,350
1986,Total,Both,Icelandic,372
1987,Total,Both,Icelandic,394
