Year,Units,Area of Spending Category,Observation Status,Unit multiplier,Unit measure,Value
1998,Percentage (%) of national budget,,Undefined,Units,Percentage (%),54.56
1999,Percentage (%) of national budget,,Undefined,Units,Percentage (%),55.31
2000,Percentage (%) of national budget,,Undefined,Units,Percentage (%),55.13
2001,Percentage (%) of national budget,,Undefined,Units,Percentage (%),55.03
2002,Percentage (%) of national budget,,Undefined,Units,Percentage (%),57.54
2003,Percentage (%) of national budget,,Undefined,Units,Percentage (%),58.53
2004,Percentage (%) of national budget,,Undefined,Units,Percentage (%),59.02
2005,Percentage (%) of national budget,,Undefined,Units,Percentage (%),60.13
2006,Percentage (%) of national budget,,Undefined,Units,Percentage (%),58.61
2007,Percentage (%) of national budget,,Undefined,Units,Percentage (%),57.71
2008,Percentage (%) of national budget,,Undefined,Units,Percentage (%),43.71
2009,Percentage (%) of national budget,,Undefined,Units,Percentage (%),55.1
2010,Percentage (%) of national budget,,Undefined,Units,Percentage (%),53
2011,Percentage (%) of national budget,,Undefined,Units,Percentage (%),57.36
2012,Percentage (%) of national budget,,Undefined,Units,Percentage (%),56.46
2013,Percentage (%) of national budget,,Undefined,Units,Percentage (%),57.09
2014,Percentage (%) of national budget,,Undefined,Units,Percentage (%),55.84
2015,Percentage (%) of national budget,,Undefined,Units,Percentage (%),56.84
2016,Percentage (%) of national budget,,Undefined,Units,Percentage (%),52.49
2017,Percentage (%) of national budget,,Undefined,Units,Percentage (%),57.37
1998,Percentage (%) of national budget,Health,Undefined,Units,Percentage (%),18.13
1999,Percentage (%) of national budget,Health,Undefined,Units,Percentage (%),19.57
2000,Percentage (%) of national budget,Health,Undefined,Units,Percentage (%),18.99
2001,Percentage (%) of national budget,Health,Undefined,Units,Percentage (%),18.47
2002,Percentage (%) of national budget,Health,Undefined,Units,Percentage (%),19.35
2003,Percentage (%) of national budget,Health,Undefined,Units,Percentage (%),19.21
2004,Percentage (%) of national budget,Health,Undefined,Units,Percentage (%),19.07
2005,Percentage (%) of national budget,Health,Undefined,Units,Percentage (%),19.03
2006,Percentage (%) of national budget,Health,Undefined,Units,Percentage (%),18.90
2007,Percentage (%) of national budget,Health,Undefined,Units,Percentage (%),18.53
2008,Percentage (%) of national budget,Health,Undefined,Units,Percentage (%),13.72
2009,Percentage (%) of national budget,Health,Undefined,Units,Percentage (%),16.26
2010,Percentage (%) of national budget,Health,Undefined,Units,Percentage (%),15.20
2011,Percentage (%) of national budget,Health,Undefined,Units,Percentage (%),15.98
2012,Percentage (%) of national budget,Health,Undefined,Units,Percentage (%),16.25
2013,Percentage (%) of national budget,Health,Undefined,Units,Percentage (%),16.81
2014,Percentage (%) of national budget,Health,Undefined,Units,Percentage (%),16.61
2015,Percentage (%) of national budget,Health,Undefined,Units,Percentage (%),17.37
2016,Percentage (%) of national budget,Health,Undefined,Units,Percentage (%),16.54
2017,Percentage (%) of national budget,Health,Undefined,Units,Percentage (%),17.47
1998,Percentage (%) of national budget,Social Protection,Undefined,Units,Percentage (%),18.58
1999,Percentage (%) of national budget,Social Protection,Undefined,Units,Percentage (%),17.99
2000,Percentage (%) of national budget,Social Protection,Undefined,Units,Percentage (%),18.21
2001,Percentage (%) of national budget,Social Protection,Undefined,Units,Percentage (%),18.37
2002,Percentage (%) of national budget,Social Protection,Undefined,Units,Percentage (%),19.46
