Year ,Group,Value
2010,Least developed,.1111
2011,Least developed,.1232
2012,Least developed,.4847
2013,Least developed,.1606
2014,Least developed,.1812
2015,Least developed,.2016
2016,Least developed,.2298
2017,Least developed,.2495
2018,Least developed,.2708
2010,Developing,22.54274698
2011,Developing,19.76351824
2012,Developing,21.8056668
2013,Developing,20.89073088
2014,Developing,19.91253328
2015,Developing,22.03557499
2016,Developing,17.49332859
2017,Developing,19.29174603
2018,Developing,19.38138092
