Year,Region,Condition,Gender,Value
2010,Capital Region,Overweight,Male,8.2
2011,Capital Region,Overweight,Male,10.6
2012,Capital Region,Overweight,Male,8.2
2013,Capital Region,Overweight,Male,8.3
2014,Capital Region,Overweight,Male,8.2
2015,Capital Region,Overweight,Male,8.5
2016,Capital Region,Overweight,Male,9.6
2017,Capital Region,Overweight,Male,9.5
2018,Capital Region,Overweight,Male,9.2
2010,Capital Region,Overweight,Female,12.7
2011,Capital Region,Overweight,Female,11.6
2012,Capital Region,Overweight,Female,11
2013,Capital Region,Overweight,Female,12.5
2014,Capital Region,Overweight,Female,12.5
2015,Capital Region,Overweight,Female,13.1
2016,Capital Region,Overweight,Female,13.5
2017,Capital Region,Overweight,Female,14.8
2018,Capital Region,Overweight,Female,14.8
2010,Capital Region,Obese,Male,2.3
2011,Capital Region,Obese,Male,2.1
2012,Capital Region,Obese,Male,1.7
2013,Capital Region,Obese,Male,1.7
2014,Capital Region,Obese,Male,1.3
2015,Capital Region,Obese,Male,1.9
2016,Capital Region,Obese,Male,2.4
2017,Capital Region,Obese,Male,1.3
2018,Capital Region,Obese,Male,1.4
2010,Capital Region,Obese,Female,2.6
2011,Capital Region,Obese,Female,2.6
2012,Capital Region,Obese,Female,1.4
2013,Capital Region,Obese,Female,2.4
2014,Capital Region,Obese,Female,2.3
2015,Capital Region,Obese,Female,2.6
2016,Capital Region,Obese,Female,2.2
2017,Capital Region,Obese,Female,2.6
2018,Capital Region,Obese,Female,2.5
