Year,Value
1961,23.7
1962,21.4
1963,22.2
1964,21.7
1965,20.5
1966,17.3
1967,16.6
1968,18.0
1969,14.7
1970,15.9
1971,16.4
1972,13.0
1973,12.6
1974,14.5
1975,16.7
1976,10.3
1977,12.5
1978,13.7
1979,
1980,9.7
1981,7.4
1982,8.3
1983,7.5
1984,6.8
1985,8.0
1986,6.0
1987,8.1
1988,7.5
1989,6.1
1990,6.7
1991,6.8
1992,6.5
1993,5.6
1994,3.8
1995,8.6
1996,4.6
1997,6.3
1998,4.8
1999,2.4
2000,3.9
2001,3.4
2002,3.7
2003,2.9
2004,3.1
2005,3.0
2006,2.3
2007,3.3
2008,3.5
2009,2.2
2010,3.3
2011,1.6
2012,1.5
2013,2.5
2014,2.3
2015,3.1
2016,2.0
2017,3.4
