Year,Education Category,Age,Sex,Value
2003,Formal,16-24,,58,2
2004,Formal,16-24,,61,0
2005,Formal,16-24,,62,3
2006,Formal,16-24,,60,8
2007,Formal,16-24,,63,3
2008,Formal,16-24,,59,2
2009,Formal,16-24,,62,6
2010,Formal,16-24,,62,9
2011,Formal,16-24,,60,2
2012,Formal,16-24,,59,9
2013,Formal,16-24,,59,1
2014,Formal,16-24,,61,9
2015,Formal,16-24,,63,3
2016,Formal,16-24,,54,7
2017,Formal,16-24,,58,2
2018,Formal,16-24,,56,5
2019,Formal,16-24,,60,9
2020,Formal,16-24,,62,9
2003,Formal,16-24,Male,56,5
2004,Formal,16-24,Male,60,0
2005,Formal,16-24,Male,58,2
2006,Formal,16-24,Male,58,0
2007,Formal,16-24,Male,60,3
2008,Formal,16-24,Male,57,8
2009,Formal,16-24,Male,59,7
2010,Formal,16-24,Male,60,1
2011,Formal,16-24,Male,57,5
2012,Formal,16-24,Male,56,8
2013,Formal,16-24,Male,57,3
2014,Formal,16-24,Male,58,8
2015,Formal,16-24,Male,58,7
2016,Formal,16-24,Male,52,2
2017,Formal,16-24,Male,54,2
2018,Formal,16-24,Male,52,2
2019,Formal,16-24,Male,55,4
2020,Formal,16-24,Male,58,4
2003,Formal,16-24,Female,60,1
2004,Formal,16-24,Female,62,0
2005,Formal,16-24,Female,66,7
2006,Formal,16-24,Female,63,8
2007,Formal,16-24,Female,66,6
2008,Formal,16-24,Female,60,6
2009,Formal,16-24,Female,65,7
2010,Formal,16-24,Female,65,9
2011,Formal,16-24,Female,63,0
2012,Formal,16-24,Female,63,3
2013,Formal,16-24,Female,61,0
2014,Formal,16-24,Female,65,3
2015,Formal,16-24,Female,68,1
2016,Formal,16-24,Female,57,4
2017,Formal,16-24,Female,62,5
2018,Formal,16-24,Female,61,2
2019,Formal,16-24,Female,66,8
2020,Formal,16-24,Female,67,8
2003,Formal,25-64,,8,7
2004,Formal,25-64,,9,9
2005,Formal,25-64,,10,0
2006,Formal,25-64,,11,0
2007,Formal,25-64,,10,8
2008,Formal,25-64,,11,3
2009,Formal,25-64,,11,6
2010,Formal,25-64,,10,7
2011,Formal,25-64,,10,5
2012,Formal,25-64,,10,6
2013,Formal,25-64,,9,7
2014,Formal,25-64,,10,3
2015,Formal,25-64,,11,0
2016,Formal,25-64,,8,9
2017,Formal,25-64,,8,6
2018,Formal,25-64,,9,1
2019,Formal,25-64,,9,3
2020,Formal,25-64,,10,4
2003,Formal,25-64,Male,6,1
2004,Formal,25-64,Male,7,2
2005,Formal,25-64,Male,6,9
2006,Formal,25-64,Male,7,0
2007,Formal,25-64,Male,7,6
2008,Formal,25-64,Male,7,8
2009,Formal,25-64,Male,8,6
2010,Formal,25-64,Male,7,9
2011,Formal,25-64,Male,8,6
2012,Formal,25-64,Male,8,3
2013,Formal,25-64,Male,7,5
2014,Formal,25-64,Male,7,9
2015,Formal,25-64,Male,8,3
2016,Formal,25-64,Male,6,3
2017,Formal,25-64,Male,6,9
2018,Formal,25-64,Male,7,4
2019,Formal,25-64,Male,7,7
2020,Formal,25-64,Male,8,3
2003,Formal,25-64,Female,11,4
2004,Formal,25-64,Female,12,7
2005,Formal,25-64,Female,13,2
2006,Formal,25-64,Female,15,2
2007,Formal,25-64,Female,14,3
2008,Formal,25-64,Female,15,1
2009,Formal,25-64,Female,14,7
2010,Formal,25-64,Female,13,6
2011,Formal,25-64,Female,12,3
2012,Formal,25-64,Female,12,9
2013,Formal,25-64,Female,11,9
2014,Formal,25-64,Female,12,8
2015,Formal,25-64,Female,13,8
2016,Formal,25-64,Female,11,4
2017,Formal,25-64,Female,10,4
2018,Formal,25-64,Female,10,8
2019,Formal,25-64,Female,10,9
2020,Formal,25-64,Female,12,6
2003,Non-Formal,16-24,,9,1
2004,Non-Formal,16-24,,8,6
2005,Non-Formal,16-24,,10,3
2006,Non-Formal,16-24,,11,5
2007,Non-Formal,16-24,,9,4
2008,Non-Formal,16-24,,7,9
2009,Non-Formal,16-24,,8,4
2010,Non-Formal,16-24,,10,1
2011,Non-Formal,16-24,,9,3
2012,Non-Formal,16-24,,9,8
2013,Non-Formal,16-24,,10,2
2014,Non-Formal,16-24,,9,9
2015,Non-Formal,16-24,,11,4
2016,Non-Formal,16-24,,9,2
2017,Non-Formal,16-24,,9,6
2018,Non-Formal,16-24,,7,3
2019,Non-Formal,16-24,,7,2
2020,Non-Formal,16-24,,6,0
2003,Non-Formal,16-24,Male,8,6
2004,Non-Formal,16-24,Male,7,5
2005,Non-Formal,16-24,Male,10,2
2006,Non-Formal,16-24,Male,11,4
2007,Non-Formal,16-24,Male,9,8
2008,Non-Formal,16-24,Male,7,7
2009,Non-Formal,16-24,Male,9,5
2010,Non-Formal,16-24,Male,9,3
2011,Non-Formal,16-24,Male,8,6
2012,Non-Formal,16-24,Male,10,4
2013,Non-Formal,16-24,Male,9,7
2014,Non-Formal,16-24,Male,8,8
2015,Non-Formal,16-24,Male,11,1
2016,Non-Formal,16-24,Male,9,1
2017,Non-Formal,16-24,Male,8,7
2018,Non-Formal,16-24,Male,7,3
2019,Non-Formal,16-24,Male,5,8
2020,Non-Formal,16-24,Male,6,0
2003,Non-Formal,16-24,Female,9,6
2004,Non-Formal,16-24,Female,9,9
2005,Non-Formal,16-24,Female,10,4
2006,Non-Formal,16-24,Female,11,5
2007,Non-Formal,16-24,Female,9,1
2008,Non-Formal,16-24,Female,8,1
2009,Non-Formal,16-24,Female,7,1
2010,Non-Formal,16-24,Female,10,9
2011,Non-Formal,16-24,Female,9,9
2012,Non-Formal,16-24,Female,9,1
2013,Non-Formal,16-24,Female,10,8
2014,Non-Formal,16-24,Female,11,0
2015,Non-Formal,16-24,Female,11,8
2016,Non-Formal,16-24,Female,9,3
2017,Non-Formal,16-24,Female,10,6
2018,Non-Formal,16-24,Female,7,3
2019,Non-Formal,16-24,Female,8,6
2020,Non-Formal,16-24,Female,5,9
2003,Non-Formal,25-64,,14,9
2004,Non-Formal,25-64,,15,6
2005,Non-Formal,25-64,,16,8
2006,Non-Formal,25-64,,18,5
2007,Non-Formal,25-64,,17,2
2008,Non-Formal,25-64,,15,0
2009,Non-Formal,25-64,,14,6
2010,Non-Formal,25-64,,15,4
2011,Non-Formal,25-64,,16,4
2012,Non-Formal,25-64,,18,0
2013,Non-Formal,25-64,,17,4
2014,Non-Formal,25-64,,16,9
2015,Non-Formal,25-64,,18,4
2016,Non-Formal,25-64,,16,3
2017,Non-Formal,25-64,,15,0
2018,Non-Formal,25-64,,12,4
2019,Non-Formal,25-64,,12,6
2020,Non-Formal,25-64,,9,9
2003,Non-Formal,25-64,Male,12,8
2004,Non-Formal,25-64,Male,13,5
2005,Non-Formal,25-64,Male,15,2
2006,Non-Formal,25-64,Male,16,0
2007,Non-Formal,25-64,Male,15,1
2008,Non-Formal,25-64,Male,12,7
2009,Non-Formal,25-64,Male,12,4
2010,Non-Formal,25-64,Male,13,6
2011,Non-Formal,25-64,Male,14,6
2012,Non-Formal,25-64,Male,16,4
2013,Non-Formal,25-64,Male,15,7
2014,Non-Formal,25-64,Male,14,2
2015,Non-Formal,25-64,Male,15,8
2016,Non-Formal,25-64,Male,14,9
2017,Non-Formal,25-64,Male,13,2
2018,Non-Formal,25-64,Male,10,5
2019,Non-Formal,25-64,Male,10,6
2020,Non-Formal,25-64,Male,8,2
2003,Non-Formal,25-64,Female,17,0
2004,Non-Formal,25-64,Female,17,9
2005,Non-Formal,25-64,Female,18,4
2006,Non-Formal,25-64,Female,21,1
2007,Non-Formal,25-64,Female,19,4
2008,Non-Formal,25-64,Female,17,5
2009,Non-Formal,25-64,Female,17,0
2010,Non-Formal,25-64,Female,17,3
2011,Non-Formal,25-64,Female,18,3
2012,Non-Formal,25-64,Female,19,7
2013,Non-Formal,25-64,Female,19,0
2014,Non-Formal,25-64,Female,19,7
2015,Non-Formal,25-64,Female,21,1
2016,Non-Formal,25-64,Female,17,9
2018,Non-Formal,25-64,Female,14,5
2019,Non-Formal,25-64,Female,14,8
2020,Non-Formal,25-64,Female,11,7
