Year,Sex,Age,Value
1998,Female,'16',0
1998,Female,'17',3
1998,Female,'18',5
1998,Male,16,0
1998,Male,17,0
1998,Male,18,0
1999,Female,16,0
1999,Female,17,0
1999,Female,18,10
1999,Male,16,0
1999,Male,17,0
1999,Male,18,0
2000,Female,16,0
2000,Female,17,0
2000,Female,18,8
2000,Male,16,0
2000,Male,17,0
2000,Male,18,0
2001,Female,16,0
2001,Female,17,0
2001,Female,18,8
2001,Male,16,0
2001,Male,17,0
2001,Male,18,1
2002,Female,16,0
2002,Female,17,0
2002,Female,18,6
2002,Male,16,0
2002,Male,17,0
2002,Male,18,0
2003,Female,16,1
2003,Female,17,0
2003,Female,18,4
2003,Male,16,0
2003,Male,17,0
2003,Male,18,1
2004,Female,16,0
2004,Female,17,1
2004,Female,18,6
2004,Male,16,0
2004,Male,17,0
2004,Male,18,2
2005,Female,16,0
2005,Female,17,0
2005,Female,18,5
2005,Male,16,0
2005,Male,17,0
2005,Male,18,0
2006,Female,16,0
2006,Female,17,1
2006,Female,18,3
2006,Male,16,0
2006,Male,17,0
2006,Male,18,0
2007,Female,16,0
2007,Female,17,0
2007,Female,18,2
2007,Male,16,0
2007,Male,17,0
2007,Male,18,0
2008,Female,16,0
2008,Female,17,0
2008,Female,18,2
2008,Male,16,0
2008,Male,17,0
2008,Male,18,1
2009,Female,16,0
2009,Female,17,1
2009,Female,18,3
2009,Male,16,0
2009,Male,17,0
2009,Male,18,1
2010,Female,16,0
2010,Female,17,0
2010,Female,18,4
2010,Male,16,0
2010,Male,17,0
2010,Male,18,0
2011,Female,16,0
2011,Female,17,0
2011,Female,18,0
2011,Male,16,0
2011,Male,17,0
2011,Male,18,0
2012,Female,16,0
2012,Female,17,0
2012,Female,18,0
2012,Male,16,0
2012,Male,17,0
2012,Male,18,0
2013,Female,16,0
2013,Female,17,0
2013,Female,18,4
2013,Male,16,0
2013,Male,17,0
2013,Male,18,1
2014,Female,16,0
2014,Female,17,0
2014,Female,18,2
2014,Male,16,0
2014,Male,17,0
2014,Male,18,0
2015,Female,16,0
2015,Female,17,0
2015,Female,18,3
2015,Male,16,0
2015,Male,17,0
2015,Male,18,1
2016,Female,16,1
2016,Female,17,0
2016,Female,18,2
2016,Male,16,0
2016,Male,17,0
2016,Male,18,1
2017,Female,16,0
2017,Female,17,1
2017,Female,18,3
2017,Male,16,0
2017,Male,17,0
2017,Male,18,0
2018,Female,16,0
2018,Female,17,0
2018,Female,18,1
2018,Male,16,0
2018,Male,17,0
2018,Male,18,1
