Year,Gender,Sector,Value
2008,,,1890
2009,,,1965
2010,,,2070
2011,,,2210
2012,,,2305
2013,,,2470
2014,,,2555
2015,,,2735
2016,,,3015
2017,,,3200
2018,,,3255
2008,Male,,2110
2009,Male,,2160
2010,Male,,2270
2011,Male,,2420
2012,Male,,2520
2013,Male,,2720
2014,Male,,2780
2015,Male,,2990
2016,Male,,3270
2017,Male,,3460
2018,Male,,3490
2008,Female,,1670
2009,Female,,1770
2010,Female,,1870
2011,Female,,2000
2012,Female,,2090
2013,Female,,2220
2014,Female,,2330
2015,Female,,2480
2016,Female,,2760
2017,Female,,2940
2018,Female,,3020
2008,Male,Total - excluding public administration (O),2080
2009,Male,Total - excluding public administration (O),2130
2010,Male,Total - excluding public administration (O),2240
2011,Male,Total - excluding public administration (O),2400
2012,Male,Total - excluding public administration (O),2490
2013,Male,Total - excluding public administration (O),2700
2014,Male,Total - excluding public administration (O),2760
2015,Male,Total - excluding public administration (O),2970
2016,Male,Total - excluding public administration (O),3230
2017,Male,Total - excluding public administration (O),3420
2018,Male,Total - excluding public administration (O),3440
2008,Female,Total - excluding public administration (O),1650
2009,Female,Total - excluding public administration (O),1750
2010,Female,Total - excluding public administration (O),1840
2011,Female,Total - excluding public administration (O),1960
2012,Female,Total - excluding public administration (O),2050
2013,Female,Total - excluding public administration (O),2190
2014,Female,Total - excluding public administration (O),2300
2015,Female,Total - excluding public administration (O),2450
2016,Female,Total - excluding public administration (O),2720
2017,Female,Total - excluding public administration (O),2900
2018,Female,Total - excluding public administration (O),2960
2008,Male,Private sector,2090
2009,Male,Private sector,2150
2010,Male,Private sector,2300
2011,Male,Private sector,2460
2012,Male,Private sector,2570
2013,Male,Private sector,2810
2014,Male,Private sector,2830
2015,Male,Private sector,3040
2016,Male,Private sector,3260
2017,Male,Private sector,3450
2018,Male,Private sector,3450
2008,Female,Private sector,1620
2009,Female,Private sector,1720
2010,Female,Private sector,1890
2011,Female,Private sector,2030
2012,Female,Private sector,2140
2013,Female,Private sector,2330
2014,Female,Private sector,2370
2015,Female,Private sector,2540
2016,Female,Private sector,2750
2017,Female,Private sector,2930
2018,Female,Private sector,2890
2008,Male,"Public sector, total",2170
2009,Male,"Public sector, total",2190
2010,Male,"Public sector, total",2200
2011,Male,"Public sector, total",2340
2012,Male,"Public sector, total",2440
2013,Male,"Public sector, total",2500
2014,Male,"Public sector, total",2680
2015,Male,"Public sector, total",2870
2016,Male,"Public sector, total",3300
2017,Male,"Public sector, total",3500
