Year,Gender,Age,Value
1991,Total,Total,2.5
1991,Total,16-24,4.9
1991,Total,25-54,2.2
1991,Total,55-74,1.6
1991,Males,Total,2.3
1991,Males,16-24,5.8
1991,Males,25-54,1.8
1991,Males,55-74,0.6
1991,Females,Total,2.9
1991,Females,16-24,3.9
1991,Females,25-54,2.6
1991,Females,55-74,2.7
1992,Total,Total,4.3
1992,Total,16-24,9.9
1992,Total,25-54,3.2
1992,Total,55-74,3.1
1992,Males,Total,3.8
1992,Males,16-24,8.9
1992,Males,25-54,2.7
1992,Males,55-74,3.2
1992,Females,Total,4.9
1992,Females,16-24,10.9
1992,Females,25-54,3.8
1992,Females,55-74,2.9
1993,Total,Total,5.3
1993,Total,16-24,10
1993,Total,25-54,4.3
1993,Total,55-74,4.4
1993,Males,Total,5
1993,Males,16-24,10.2
1993,Males,25-54,4
1993,Males,55-74,4.2
1993,Females,Total,5.6
1993,Females,16-24,9.7
1993,Females,25-54,4.8
1993,Females,55-74,4.6
1994,Total,Total,5.3
1994,Total,16-24,11.5
1994,Total,25-54,4.2
1994,Total,55-74,4
1994,Males,Total,5.1
1994,Males,16-24,13
1994,Males,25-54,3.5
1994,Males,55-74,4.6
1994,Females,Total,5.5
1994,Females,16-24,10.1
1994,Females,25-54,5
1994,Females,55-74,3.2
1995,Total,Total,4.9
1995,Total,16-24,11
1995,Total,25-54,3.7
1995,Total,55-74,3.5
1995,Males,Total,4.8
1995,Males,16-24,13.1
1995,Males,25-54,3.1
1995,Males,55-74,3.6
1995,Females,Total,4.9
1995,Females,16-24,8.6
1995,Females,25-54,4.3
1995,Females,55-74,3.4
1996,Total,Total,3.7
1996,Total,16-24,8.4
1996,Total,25-54,2.6
1996,Total,55-74,3.7
1996,Males,Total,3.4
1996,Males,16-24,9.2
1996,Males,25-54,2.1
1996,Males,55-74,3.3
1996,Females,Total,4.1
1996,Females,16-24,7.6
1996,Females,25-54,3.2
1996,Females,55-74,4.1
1997,Total,Total,3.9
1997,Total,16-24,7.7
1997,Total,25-54,3
1997,Total,55-74,3.7
1997,Males,Total,3.3
1997,Males,16-24,8.3
1997,Males,25-54,2.3
1997,Males,55-74,3.1
1997,Females,Total,4.5
1997,Females,16-24,7.1
1997,Females,25-54,3.8
1997,Females,55-74,4.4
1998,Total,Total,2.7
1998,Total,16-24,6
1998,Total,25-54,2.1
1998,Total,55-74,2
1998,Males,Total,2.3
1998,Males,16-24,6.4
1998,Males,25-54,1.3
1998,Males,55-74,2.1
1998,Females,Total,3.3
1998,Females,16-24,5.6
1998,Females,25-54,2.9
1998,Females,55-74,2
1999,Total,Total,2
1999,Total,16-24,4.4
1999,Total,25-54,1.4
1999,Total,55-74,2
1999,Males,Total,1.5
1999,Males,16-24,4.4
1999,Males,25-54,0.7
1999,Males,55-74,1.5
1999,Females,Total,2.6
1999,Females,16-24,4.4
1999,Females,25-54,2.1
1999,Females,55-74,2.7
2000,Total,Total,2.3
2000,Total,16-24,4.7
2000,Total,25-54,1.7
2000,Total,55-74,2
2000,Males,Total,1.8
2000,Males,16-24,5.7
2000,Males,25-54,1.1
2000,Males,55-74,0.7
2000,Females,Total,2.9
2000,Females,16-24,3.6
2000,Females,25-54,2.5
2000,Females,55-74,3.8
2001,Total,Total,2.3
2001,Total,16-24,4.8
2001,Total,25-54,1.7
2001,Total,55-74,1.6
2001,Males,Total,2
2001,Males,16-24,5.4
2001,Males,25-54,1.3
2001,Males,55-74,1.4
2001,Females,Total,2.5
2001,Females,16-24,4.3
2001,Females,25-54,2.2
2001,Females,55-74,1.9
2002,Total,Total,3.3
2002,Total,16-24,7.2
2002,Total,25-54,2.7
2002,Total,55-74,1.9
2002,Males,Total,3.6
2002,Males,16-24,9.7
2002,Males,25-54,2.5
2002,Males,55-74,2.2
2002,Females,Total,2.9
2002,Females,16-24,4.4
2002,Females,25-54,2.9
2002,Females,55-74,1.5
2003,Total,Total,3.3
2003,Total,16-24,8.2
2003,Total,25-54,2.5
2003,Total,55-74,1.9
2003,Males,Total,3.6
2003,Males,16-24,9.4
2003,Males,25-54,2.4
2003,Males,55-74,2.5
2003,Females,Total,3.1
2003,Females,16-24,7
2003,Females,25-54,2.5
2003,Females,55-74,1.2
2004,Total,Total,3.1
2004,Total,16-24,8.1
2004,Total,25-54,2
2004,Total,55-74,2.5
2004,Males,Total,3.2
2004,Males,16-24,9.3
2004,Males,25-54,1.9
2004,Males,55-74,2.6
2004,Females,Total,2.9
2004,Females,16-24,6.8
2004,Females,25-54,2
2004,Females,55-74,2.4
2005,Total,Total,2.6
2005,Total,16-24,7.2
2005,Total,25-54,1.7
2005,Total,55-74,1.3
2005,Males,Total,2.6
2005,Males,16-24,8.5
2005,Males,25-54,1.6
2005,Males,55-74,0.9
2005,Females,Total,2.6
2005,Females,16-24,5.9
2005,Females,25-54,1.8
2005,Females,55-74,1.8
2006,Total,Total,2.9
2006,Total,16-24,8.2
2006,Total,25-54,1.8
2006,Total,55-74,1.5
2006,Males,Total,2.7
2006,Males,16-24,8.9
2006,Males,25-54,1.7
2006,Males,55-74,1
2006,Females,Total,3.1
2006,Females,16-24,7.6
2006,Females,25-54,2
2006,Females,55-74,2.1
2007,Total,Total,2.3
2007,Total,16-24,7.1
2007,Total,25-54,1.3
2007,Total,55-74,1.1
2007,Males,Total,2.3
2007,Males,16-24,8
2007,Males,25-54,1.2
2007,Males,55-74,1.2
2007,Females,Total,2.3
2007,Females,16-24,6.2
2007,Females,25-54,1.6
2007,Females,55-74,0.9
2008,Total,Total,3
2008,Total,16-24,8.2
2008,Total,25-54,2
2008,Total,55-74,1.6
2008,Males,Total,3.3
2008,Males,16-24,9
2008,Males,25-54,2.2
2008,Males,55-74,2.4
2008,Females,Total,2.6
2008,Females,16-24,7.5
2008,Females,25-54,1.7
2008,Females,55-74,0.7
2009,Total,Total,7.2
2009,Total,16-24,16
2009,Total,25-54,6.1
2009,Total,55-74,3.4
2009,Males,Total,8.6
2009,Males,16-24,19.9
2009,Males,25-54,7.2
2009,Males,55-74,4.4
2009,Females,Total,5.7
2009,Females,16-24,12
2009,Females,25-54,4.9
2009,Females,55-74,2.2
2010,Total,Total,7.6
2010,Total,16-24,16.2
2010,Total,25-54,6.3
2010,Total,55-74,4.2
2010,Males,Total,8.3
2010,Males,16-24,18.4
2010,Males,25-54,7
2010,Males,55-74,4.8
2010,Females,Total,6.7
2010,Females,16-24,14
2010,Females,25-54,5.6
2010,Females,55-74,3.5
2011,Total,Total,7.1
2011,Total,16-24,14.6
2011,Total,25-54,5.6
2011,Total,55-74,5.2
2011,Males,Total,7.8
2011,Males,16-24,18.4
2011,Males,25-54,5.6
2011,Males,55-74,6.3
2011,Females,Total,6.2
2011,Females,16-24,10.7
2011,Females,25-54,5.6
2011,Females,55-74,3.8
2012,Total,Total,6
2012,Total,16-24,13.6
2012,Total,25-54,4.6
2012,Total,55-74,4.1
2012,Males,Total,6.4
2012,Males,16-24,14.7
2012,Males,25-54,4.8
2012,Males,55-74,4.4
2012,Females,Total,5.7
2012,Females,16-24,12.4
2012,Females,25-54,4.4
2012,Females,55-74,3.7
2013,Total,Total,5.4
2013,Total,16-24,10.7
2013,Total,25-54,4.6
2013,Total,55-74,3.2
2013,Males,Total,5.7
2013,Males,16-24,13.6
2013,Males,25-54,4.4
2013,Males,55-74,3.4
2013,Females,Total,5.1
2013,Females,16-24,7.8
2013,Females,25-54,4.9
2013,Females,55-74,3
2014,Total,Total,5
2014,Total,16-24,10
2014,Total,25-54,4.3
2014,Total,55-74,2.8
2014,Males,Total,5.1
2014,Males,16-24,13.1
2014,Males,25-54,3.8
2014,Males,55-74,2.7
2014,Females,Total,4.9
2014,Females,16-24,6.9
2014,Females,25-54,5
2014,Females,55-74,2.9
2015,Total,Total,4
2015,Total,16-24,8.7
2015,Total,25-54,3.2
2015,Total,55-74,2.6
2015,Males,Total,3.9
2015,Males,16-24,10.7
2015,Males,25-54,2.6
2015,Males,55-74,2.5
2015,Females,Total,4.1
2015,Females,16-24,6.7
