Year,Units,Industry category,Value
1997,Percentage of GDP,C. Manufacturing,14.124310
1998,Percentage of GDP,C. Manufacturing,13.414813
1999,Percentage of GDP,C. Manufacturing,11.815555
2000,Percentage of GDP,C. Manufacturing,11.550231
2001,Percentage of GDP,C. Manufacturing,13.280269
2002,Percentage of GDP,C. Manufacturing,11.586980
2003,Percentage of GDP,C. Manufacturing,10.917240
2004,Percentage of GDP,C. Manufacturing,10.426183
2005,Percentage of GDP,C. Manufacturing,8.660483
2006,Percentage of GDP,C. Manufacturing,9.014747
2007,Percentage of GDP,C. Manufacturing,7.857766
2008,Percentage of GDP,C. Manufacturing,10.933570
2009,Percentage of GDP,C. Manufacturing,10.962856
2010,Percentage of GDP,C. Manufacturing,12.834027
2011,Percentage of GDP,C. Manufacturing,13.103149
2012,Percentage of GDP,C. Manufacturing,11.659240
2013,Percentage of GDP,C. Manufacturing,11.513899
2014,Percentage of GDP,C. Manufacturing,11.328344
2015,Percentage of GDP,C. Manufacturing,10.584891
2016,Percentage of GDP,C. Manufacturing,9.298448
2017,Percentage of GDP,C. Manufacturing,8.870373
2018,Percentage of GDP,C. Manufacturing,8.401133
2019,Percentage of GDP,C. Manufacturing,8.676899
1997,Percentage of GDP,"C: 10-12 Manufacture of food products, beverages and tobacco products",6.554300
1998,Percentage of GDP,"C: 10-12 Manufacture of food products, beverages and tobacco products",6.125924
1999,Percentage of GDP,"C: 10-12 Manufacture of food products, beverages and tobacco products",5.225298
2000,Percentage of GDP,"C: 10-12 Manufacture of food products, beverages and tobacco products",4.565023
2001,Percentage of GDP,"C: 10-12 Manufacture of food products, beverages and tobacco products",6.167983
2002,Percentage of GDP,"C: 10-12 Manufacture of food products, beverages and tobacco products",4.872283
2003,Percentage of GDP,"C: 10-12 Manufacture of food products, beverages and tobacco products",4.396107
2004,Percentage of GDP,"C: 10-12 Manufacture of food products, beverages and tobacco products",3.826812
2005,Percentage of GDP,"C: 10-12 Manufacture of food products, beverages and tobacco products",3.140388
