Year;Sector;Value
1997;;0,414078362
1998;;0,394027708
1999;;0,405018556
2000;;0,435865179
2001;;0,511642878
2002;;0,467209132
2003;;0,387678626
2004;;0,329308438
2005;;0,300784685
2006;;0,305819215
2007;;0,2431074
2008;;0,306095378
2009;;0,454821752
2010;;0,477854844
2011;;0,418137457
2012;;0,447299476
2013;;0,397326422
2014;;0,372563342
2015;;0,401640803
2016;;0,351121205
2017;;0,345424968
1997;A - Agriculture, forestry and fishing;1,675057035
1998;A - Agriculture, forestry and fishing;1,587015316
1999;A - Agriculture, forestry and fishing;1,60717891
2000;A - Agriculture, forestry and fishing;1,77688124
2001;A - Agriculture, forestry and fishing;1,862924172
2002;A - Agriculture, forestry and fishing;1,581778549
2003;A - Agriculture, forestry and fishing;1,438946492
2004;A - Agriculture, forestry and fishing;1,552775611
2005;A - Agriculture, forestry and fishing;1,421427255
2006;A - Agriculture, forestry and fishing;1,356368818
2007;A - Agriculture, forestry and fishing;1,266704811
2008;A - Agriculture, forestry and fishing;1,281785593
2009;A - Agriculture, forestry and fishing;1,545822887
2010;A - Agriculture, forestry and fishing;1,308394652
2011;A - Agriculture, forestry and fishing;1,229939678
2012;A - Agriculture, forestry and fishing;1,221709246
2013;A - Agriculture, forestry and fishing;1,240163161
2014;A - Agriculture, forestry and fishing;1,244519399
2015;A - Agriculture, forestry and fishing;1,250957578
2016;A - Agriculture, forestry and fishing;1,235066923
2017;A - Agriculture, forestry and fishing;1,396491238
1997;B - Mining and quarrying;0,018609168
1998;B - Mining and quarrying;0,017716162
1999;B - Mining and quarrying;0,019966142
2000;B - Mining and quarrying;0,023665276
2001;B - Mining and quarrying;0,025828257
2002;B - Mining and quarrying;0,024540968
2003;B - Mining and quarrying;0,058736265
2004;B - Mining and quarrying;0,043472504
2005;B - Mining and quarrying;0,265966689
2006;B - Mining and quarrying;0,050155432
2007;B - Mining and quarrying;0,037427036
2008;B - Mining and quarrying;0,060928388
2009;B - Mining and quarrying;0,160951421
2010;B - Mining and quarrying;0,139539924
2011;B - Mining and quarrying;0,137515611
2012;B - Mining and quarrying;0,152994215
2013;B - Mining and quarrying;0,110944083
2014;B - Mining and quarrying;0,109867911
2015;B - Mining and quarrying;0,09060897
2016;B - Mining and quarrying;0,08266612
2017;B - Mining and quarrying;0,048339075
1997;C - Manufacturing;0,53164178
1998;C - Manufacturing;0,51543923
1999;C - Manufacturing;0,672230084
2000;C - Manufacturing;0,783928786
2001;C - Manufacturing;0,878018937
2002;C - Manufacturing;0,888259291
2003;C - Manufacturing;0,811140992
2004;C - Manufacturing;0,721882976
2005;C - Manufacturing;0,732124317
2006;C - Manufacturing;0,696671429
2007;C - Manufacturing;0,610714849
2008;C - Manufacturing;0,767580146
2009;C - Manufacturing;1,13866223
2010;C - Manufacturing;1,235261288
2011;C - Manufacturing;1,009851604
2012;C - Manufacturing;1,19022126
2013;C - Manufacturing;1,059734192
2014;C - Manufacturing;1,027644448
2015;C - Manufacturing;1,130317589
2016;C - Manufacturing;1,068825995
2017;C - Manufacturing;1,069212034
1997;D - Electricity and power generation;0,268075432
1998;D - Electricity and power generation;0,279730541
1999;D - Electricity and power generation;0,207591334
2000;D - Electricity and power generation;0,280731156
2001;D - Electricity and power generation;0,379500038
2002;D - Electricity and power generation;0,501267158
2003;D - Electricity and power generation;0,421763456
2004;D - Electricity and power generation;0,372418701
2005;D - Electricity and power generation;0,295356406
2006;D - Electricity and power generation;0,218500422
2007;D - Electricity and power generation;0,198780196
2008;D - Electricity and power generation;0,209030714
2009;D - Electricity and power generation;0,351338786
2010;D - Electricity and power generation;0,343595945
2011;D - Electricity and power generation;0,273554876
2012;D - Electricity and power generation;0,326287348
2013;D - Electricity and power generation;0,300430864
2014;D - Electricity and power generation;0,308980043
2015;D - Electricity and power generation;0,304978136
2016;D - Electricity and power generation;0,319056114
2017;D - Electricity and power generation;0,26267869
1997;E - Water collection, waste management and remediation activities;4,462954632
1998;E - Water collection, waste management and remediation activities;4,083691716
1999;E - Water collection, waste management and remediation activities;4,253216588
2000;E - Water collection, waste management and remediation activities;4,660470855
2001;E - Water collection, waste management and remediation activities;4,597119027
2002;E - Water collection, waste management and remediation activities;4,151866351
2003;E - Water collection, waste management and remediation activities;3,91096198
2004;E - Water collection, waste management and remediation activities;3,315431187
2005;E - Water collection, waste management and remediation activities;2,776155978
2006;E - Water collection, waste management and remediation activities;2,921890834
2007;E - Water collection, waste management and remediation activities;1,850959913
2008;E - Water collection, waste management and remediation activities;2,357495373
2009;E - Water collection, waste management and remediation activities;3,115431479
2010;E - Water collection, waste management and remediation activities;2,718150253
2011;E - Water collection, waste management and remediation activities;2,401448127
2012;E - Water collection, waste management and remediation activities;2,340811029
2013;E - Water collection, waste management and remediation activities;1,938884142
2014;E - Water collection, waste management and remediation activities;1,784137486
2015;E - Water collection, waste management and remediation activities;1,930373807
2016;E - Water collection, waste management and remediation activities;1,604468457
2017;E - Water collection, waste management and remediation activities;1,414721739
1997;F - Construction;0,195534069
1998;F - Construction;0,170207111
1999;F - Construction;0,212714668
2000;F - Construction;0,209572518
2001;F - Construction;0,288295297
2002;F - Construction;0,282487723
2003;F - Construction;0,237939962
2004;F - Construction;0,172267198
2005;F - Construction;0,118624787
2006;F - Construction;0,137584274
2007;F - Construction;0,132897839
2008;F - Construction;0,18431981
2009;F - Construction;0,498791826
2010;F - Construction;0,49023493
2011;F - Construction;0,362696551
2012;F - Construction;0,288955938
2013;F - Construction;0,217377287
2014;F - Construction;0,183692689
2015;F - Construction;0,179960231
2016;F - Construction;0,158534108
2017;F - Construction;0,11604735
1997;G - Trade and repair of mechanical equipment;0,025159005
1998;G - Trade and repair of mechanical equipment;0,0252732
1999;G - Trade and repair of mechanical equipment;0,028809723
2000;G - Trade and repair of mechanical equipment;0,035889778
2001;G - Trade and repair of mechanical equipment;0,053373496
2002;G - Trade and repair of mechanical equipment;0,048068052
2003;G - Trade and repair of mechanical equipment;0,043287144
2004;G - Trade and repair of mechanical equipment;0,03744473
2005;G - Trade and repair of mechanical equipment;0,039370795
2006;G - Trade and repair of mechanical equipment;0,044131479
2007;G - Trade and repair of mechanical equipment;0,037170649
2008;G - Trade and repair of mechanical equipment;0,062272114
2009;G - Trade and repair of mechanical equipment;0,070902592
2010;G - Trade and repair of mechanical equipment;0,063107752
2011;G - Trade and repair of mechanical equipment;0,043505989
2012;G - Trade and repair of mechanical equipment;0,046632294
2013;G - Trade and repair of mechanical equipment;0,038549058
2014;G - Trade and repair of mechanical equipment;0,037910113
2015;G - Trade and repair of mechanical equipment;0,036285088
2016;G - Trade and repair of mechanical equipment;0,029840841
2017;G - Trade and repair of mechanical equipment;0,030719905
1997;H - Tranportation and storage;0,849285915
1998;H - Tranportation and storage;0,966997637
1999;H - Tranportation and storage;1,055290554
2000;H - Tranportation and storage;1,239507061
2001;H - Tranportation and storage;1,471902152
2002;H - Tranportation and storage;1,559319592
2003;H - Tranportation and storage;1,41274569
2004;H - Tranportation and storage;1,139330336
2005;H - Tranportation and storage;1,494113965
2006;H - Tranportation and storage;1,912504352
2007;H - Tranportation and storage;1,244907302
2008;H - Tranportation and storage;1,051131135
2009;H - Tranportation and storage;1,846727656
2010;H - Tranportation and storage;1,566534638
2011;H - Tranportation and storage;1,350250838
2012;H - Tranportation and storage;1,724299477
2013;H - Tranportation and storage;1,459539611
2014;H - Tranportation and storage;1,496565877
2015;H - Tranportation and storage;1,650380637
2016;H - Tranportation and storage;1,458502415
2017;H - Tranportation and storage;1,654509033
1997;I - Accommodation and food services activities;0,003088354
1998;I - Accommodation and food services activities;0,002415457
1999;I - Accommodation and food services activities;0,002515521
2000;I - Accommodation and food services activities;0,002916485
2001;I - Accommodation and food services activities;0,003925014
2002;I - Accommodation and food services activities;0,007079046
2003;I - Accommodation and food services activities;0,003502089
2004;I - Accommodation and food services activities;0,004167588
2005;I - Accommodation and food services activities;0,004392614
2006;I - Accommodation and food services activities;0,0055217
2007;I - Accommodation and food services activities;0,004768224
2008;I - Accommodation and food services activities;0,006854676
2009;I - Accommodation and food services activities;0,009977671
2010;I - Accommodation and food services activities;0,010554329
2011;I - Accommodation and food services activities;0,010576742
2012;I - Accommodation and food services activities;0,010284721
2013;I - Accommodation and food services activities;0,008278653
2014;I - Accommodation and food services activities;0,007504426
2015;I - Accommodation and food services activities;0,007154065
2016;I - Accommodation and food services activities;0,005486277
2017;I - Accommodation and food services activities;0,005527575
1997;J - Information and communication;0,003214528
1998;J - Information and communication;0,002563917
1999;J - Information and communication;0,002452238
2000;J - Information and communication;0,002506632
2001;J - Information and communication;0,003081259
2002;J - Information and communication;0,003081366
2003;J - Information and communication;0,00281129
2004;J - Information and communication;0,002473511
2005;J - Information and communication;0,002308626
2006;J - Information and communication;0,002476738
2007;J - Information and communication;0,002651577
2008;J - Information and communication;0,003702986
2009;J - Information and communication;0,005763189
2010;J - Information and communication;0,005786943
2011;J - Information and communication;0,005475669
2012;J - Information and communication;0,005734796
2013;J - Information and communication;0,004402171
