Year,Units,Value
1998,Percentage (%) of national budget,54.56
1999,Percentage (%) of national budget,55.31
2000,Percentage (%) of national budget,55.13
2001,Percentage (%) of national budget,55.03
2002,Percentage (%) of national budget,57.54
2003,Percentage (%) of national budget,58.53
2004,Percentage (%) of national budget,59.02
2005,Percentage (%) of national budget,60.13
2006,Percentage (%) of national budget,58.61
2007,Percentage (%) of national budget,57.71
2008,Percentage (%) of national budget,43.71
2009,Percentage (%) of national budget,55.1
2010,Percentage (%) of national budget,53.0
2011,Percentage (%) of national budget,57.36
2012,Percentage (%) of national budget,56.46
2013,Percentage (%) of national budget,57.09
2014,Percentage (%) of national budget,55.84
2015,Percentage (%) of national budget,56.84
2016,Percentage (%) of national budget,52.49
2017,Percentage (%) of national budget,57.37
2018,Percentage (%) of national budget,56.67
2019,Percentage (%) of national budget,59.16
1998,Percentage (%) of Gross Domestic Product (GDP),22.18
1999,Percentage (%) of Gross Domestic Product (GDP),22.88
2000,Percentage (%) of Gross Domestic Product (GDP),22.59
2001,Percentage (%) of Gross Domestic Product (GDP),22.85
2002,Percentage (%) of Gross Domestic Product (GDP),24.64
2003,Percentage (%) of Gross Domestic Product (GDP),25.93
2004,Percentage (%) of Gross Domestic Product (GDP),25.14
2005,Percentage (%) of Gross Domestic Product (GDP),24.84
2006,Percentage (%) of Gross Domestic Product (GDP),23.87
2007,Percentage (%) of Gross Domestic Product (GDP),23.42
2008,Percentage (%) of Gross Domestic Product (GDP),23.83
2009,Percentage (%) of Gross Domestic Product (GDP),26.11
2010,Percentage (%) of Gross Domestic Product (GDP),25.33
2011,Percentage (%) of Gross Domestic Product (GDP),25.37
2012,Percentage (%) of Gross Domestic Product (GDP),24.74
2013,Percentage (%) of Gross Domestic Product (GDP),24.21
2014,Percentage (%) of Gross Domestic Product (GDP),24.47
2015,Percentage (%) of Gross Domestic Product (GDP),23.59
2016,Percentage (%) of Gross Domestic Product (GDP),23.26
2017,Percentage (%) of Gross Domestic Product (GDP),24.83
2018,Percentage (%) of Gross Domestic Product (GDP),24.93
2019,Percentage (%) of Gross Domestic Product (GDP),25.7
