Year,Units,Value
1990,UNFCCC - NIR,13005.38
1991,UNFCCC - NIR,12785.18
1992,UNFCCC - NIR,12686.19
1993,UNFCCC - NIR,12769.63
1994,UNFCCC - NIR,12668.01
1995,UNFCCC - NIR,12787.07
1996,UNFCCC - NIR,12833.28
1997,UNFCCC - NIR,13002.96
1998,UNFCCC - NIR,13168.11
1999,UNFCCC - NIR,13401.65
2000,UNFCCC - NIR,13424.62
2001,UNFCCC - NIR,13334.33
2002,UNFCCC - NIR,13429.08
2003,UNFCCC - NIR,13400.78
2004,UNFCCC - NIR,13508.0
2005,UNFCCC - NIR,13374.55
2006,UNFCCC - NIR,14028.66
2007,UNFCCC - NIR,14361.59
2008,UNFCCC - NIR,14767.32
2009,UNFCCC - NIR,14442.83
2010,UNFCCC - NIR,14316.77
2011,UNFCCC - NIR,14023.7
2012,UNFCCC - NIR,14033.88
2013,UNFCCC - NIR,14012.86
2014,UNFCCC - NIR,14025.14
2015,UNFCCC - NIR,14078.41
2016,UNFCCC - NIR,13985.21
2017,UNFCCC - NIR,14075.43
1995,Eurostat - AEA,3673.96
1996,Eurostat - AEA,3865.08
1997,Eurostat - AEA,4057.23
1998,Eurostat - AEA,4276.42
1999,Eurostat - AEA,4551.19
2000,Eurostat - AEA,4647.47
2001,Eurostat - AEA,4583.03
2002,Eurostat - AEA,4550.93
2003,Eurostat - AEA,4809.5
2004,Eurostat - AEA,4867.11
2005,Eurostat - AEA,4734.94
2006,Eurostat - AEA,4984.89
2007,Eurostat - AEA,5485.65
2008,Eurostat - AEA,5881.99
2009,Eurostat - AEA,5502.59
2010,Eurostat - AEA,5584.09
2011,Eurostat - AEA,5331.16
2012,Eurostat - AEA,5448.25
2013,Eurostat - AEA,5750.07
2014,Eurostat - AEA,5873.25
2015,Eurostat - AEA,6305.98
2016,Eurostat - AEA,6869.35
2017,Eurostat - AEA,7660.5
